Entering mode: Disabled
Entering mode: Autonomous
0.394024: Starting autonomous program
0.394024: Starting step 'set motor voltage, duration = 5 seconds, left voltage = -0.25, right voltage = 0.25'
5.397261: Ending step 'set motor voltage, duration = 5 seconds, left voltage = -0.25, right voltage = 0.25'
5.397261: Starting step 'AutoPrintPosition'
Sample 310: Time 4.143853, Positions 0.187555, 0.106251 @ -78.415837
Sample 311: Time 4.159503, Positions 0.187555, 0.106251 @ -67.135529
Sample 312: Time 4.175108, Positions 0.187555, 0.106251 @ -55.808399
Sample 313: Time 4.190705, Positions 0.187555, 0.106251 @ -44.434540
Sample 314: Time 4.206340, Positions 0.187555, 0.106251 @ -33.013857
Sample 315: Time 4.221990, Positions 0.187555, 0.106251 @ -21.546293
Sample 316: Time 4.237616, Positions 0.187555, 0.106251 @ -10.031804
Sample 317: Time 4.253241, Positions 0.187555, 0.106251 @ 1.529529
Sample 318: Time 4.268843, Positions 0.187555, 0.106251 @ 13.137651
Sample 319: Time 4.284493, Positions 0.187555, 0.106251 @ 24.792662
Sample 320: Time 4.300151, Positions 0.187555, 0.106251 @ 36.494543
Sample 321: Time 4.315774, Positions 0.187555, 0.106251 @ 48.243253
Sample 322: Time 4.331397, Positions 0.187555, 0.106251 @ 60.038785
Sample 323: Time 4.346999, Positions 0.187555, 0.106251 @ 71.881161
Sample 324: Time 4.362654, Positions 0.187555, 0.106251 @ 83.770375
Sample 325: Time 4.378289, Positions 0.187555, 0.106251 @ 95.706525
Sample 326: Time 4.393922, Positions 0.187555, 0.106251 @ 107.689494
Sample 327: Time 4.409521, Positions 0.187555, 0.106251 @ 119.719277
Sample 328: Time 4.425177, Positions 0.187555, 0.106251 @ 131.796017
Sample 329: Time 4.440784, Positions 0.187555, 0.106251 @ 143.919451
Sample 330: Time 4.456412, Positions 0.187555, 0.106251 @ 156.089795
Sample 331: Time 4.472008, Positions 0.187555, 0.106251 @ 168.306904
Sample 332: Time 4.487639, Positions 0.187555, 0.106251 @ -179.475987
Sample 333: Time 4.503290, Positions 0.187555, 0.106251 @ -167.165185
Sample 334: Time 4.518917, Positions 0.187555, 0.106251 @ -154.807539
Sample 335: Time 4.534544, Positions 0.187555, 0.106251 @ -142.403056
Sample 336: Time 4.550170, Positions 0.187555, 0.106251 @ -129.951729
Sample 337: Time 4.565793, Positions 0.187555, 0.106251 @ -117.453549
Sample 338: Time 4.581431, Positions 0.187555, 0.106251 @ -104.908449
Sample 339: Time 4.597065, Positions 0.187555, 0.106251 @ -92.316459
Sample 340: Time 4.612659, Positions 0.187555, 0.106251 @ -79.677746
Sample 341: Time 4.628280, Positions 0.187555, 0.106251 @ -66.992199
Sample 342: Time 4.643899, Positions 0.187555, 0.106251 @ -54.306651
Sample 343: Time 4.659535, Positions 0.187555, 0.106251 @ -41.527426
Sample 344: Time 4.675130, Positions 0.187555, 0.106251 @ -28.748200
Sample 345: Time 4.690804, Positions 0.187555, 0.106251 @ -15.875291
Sample 346: Time 4.706383, Positions 0.187555, 0.106251 @ -3.002381
